"sample_size","replicate","kl_divergence"
430,2,0.0188110313350992
430,3,0.0151815736862692
430,4,0.0227130710938513
430,5,0.0175967737241786
430,6,0.0194957068774973
430,7,0.0185352082882856
430,8,0.0151850913392447
430,9,0.0181074710276333
430,10,0.0162257903602891
440,1,0.0146433103986698
440,2,0.017753211718115
440,3,0.0158867708971802
440,4,0.017356824301663
440,5,0.0140248454288446
440,6,0.0158898376803105
440,7,0.0163479702911753
440,8,0.0149461498053388
440,9,0.0151394421438884
440,10,0.0147347068273923
450,1,0.014714643922352
450,2,0.018958837378104
450,3,0.0147011948626972
450,4,0.0173928370015249
450,5,0.0149986384355124
450,6,0.0163049460966565
450,7,0.0163236736640703
450,8,0.0162529542519131
450,9,0.0157951752840771
450,10,0.0164737631117988
460,1,0.0125850978737524
460,2,0.015344494125423
460,3,0.0159369505669365
460,4,0.0163284593095173
460,5,0.0172062306571951
460,6,0.0141616330156805
460,7,0.0166431936348199
460,8,0.0129442496493587
460,9,0.0156751882251262
460,10,0.0142857305792436
470,1,0.0155349195920218
470,2,0.0171051066250866
470,3,0.0129287904229135
470,4,0.0147220343544378
470,5,0.0139474368765131
470,6,0.0153643646240232
470,7,0.0148274459249104
470,8,0.0140429018215817
470,9,0.0142965122229189
470,10,0.0171696844005459
480,1,0.0158387382383349
480,2,0.0147260232057116
480,3,0.0136276249031877
480,4,0.0121505896988703
480,5,0.0166429174213431
480,6,0.0169091931402336
480,7,0.0178705550123949
480,8,0.0160618081029619
480,9,0.0156533277356389
480,10,0.0149755774322948
490,1,0.0128462266281568
490,2,0.0152798094782337
490,3,0.0159791573211714
490,4,0.0123538057797728
490,5,0.0171449987309585
490,6,0.01225981427156
490,7,0.0167816222361483
490,8,0.0171057152640406
490,9,0.0159174803903966
490,10,0.0161262771632956
500,1,0.0151225475751025
500,2,0.0182246246201155
500,3,0.0157289607256628
500,4,0.0147950475285444
500,5,0.0155053923380639
500,6,0.0143762288622565
500,7,0.0164492633221119
500,8,0.0170452653518648
500,9,0.0133702932535193
500,10,0.0144607335979877
